workload,family,seed,n,C,B,regime_label,recommended_strategy,empirical_best_strategy,match,score_recommended,score_best,regret
constructed_medium,medium_compressibility,1,24,2,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,2,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,2,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,2,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,3,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,3,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,3,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,3,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,3,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,3,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,3,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,4,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,4,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,4,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,4,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,4,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,4,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,4,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,5,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,5,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,5,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,5,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,5,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,5,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,5,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,6,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,6,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,6,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,6,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,6,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,6,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,6,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,7,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,7,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,7,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,7,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,7,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,7,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,7,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,8,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,8,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,8,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,8,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,8,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,8,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,1,24,8,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,1,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,1,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,1,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,1,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,1,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,1,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,1,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,2,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,2,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,2,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,2,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,2,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,2,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,2,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,3,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,3,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,3,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,3,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,3,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,3,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,3,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,4,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,4,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,4,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,4,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,4,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,4,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,4,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,5,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,5,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,5,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,5,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,5,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,5,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,5,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,6,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,6,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,6,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,6,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,6,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,6,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,6,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,7,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,7,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,7,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,7,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,7,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,7,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,7,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,8,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,8,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,8,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,8,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,8,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,8,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,1,24,8,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,1,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,1,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,1,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,1,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,1,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,1,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,1,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,2,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,2,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,2,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,2,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,2,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,2,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,2,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,3,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,3,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,3,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,3,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,3,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,3,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,3,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,4,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,4,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,4,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,4,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,4,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,4,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,4,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,5,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,5,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,5,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,5,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,5,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,5,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,5,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,6,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,6,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,6,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,6,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,6,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,6,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,6,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,7,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,7,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,7,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,7,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,7,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,7,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,7,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,8,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,8,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,8,4,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,8,8,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,8,12,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,8,16,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_high,high_compressibility,2,24,8,24,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,1,0,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,1,2,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,1,4,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,1,8,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,1,12,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,1,16,peak_dominated_buffer_limited,increase_buffer,increase_B,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,1,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,2,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,2,2,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,2,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,2,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,2,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,2,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,2,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,3,0,peak_dominated_smooth_solvable,smooth,smooth,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,3,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,3,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,3,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,3,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,3,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,3,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,4,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,4,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,4,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,4,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,4,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,4,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,4,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,5,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,5,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,5,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,5,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,5,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,5,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,5,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,6,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,6,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,6,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,6,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,6,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,6,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,6,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,7,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,7,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,7,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,7,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,7,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,7,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,7,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,8,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,8,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,8,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,8,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,8,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,8,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_medium,medium_compressibility,2,24,8,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,1,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,1,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,1,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,1,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,1,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,1,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,1,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,2,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,2,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,2,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,2,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,2,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,2,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,2,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,3,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,3,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,3,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,3,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,3,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,3,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,3,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,4,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,4,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,4,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,4,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,4,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,4,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,4,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,5,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,5,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,5,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,5,8,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,5,12,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,5,16,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,5,24,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,6,0,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,6,2,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
constructed_low,low_compressibility,2,24,6,4,no_delivery_bottleneck,none,none/static,1,1.0,1.0,0.0
